×®ºÅ(km),MPD_L(mm),MPD_C(mm),MPD_R(mm)
2.800,0.89,0.86,0.82
2.810,0.74,0.81,0.64
2.820,0.50,0.38,0.52
2.830,0.50,0.44,0.56
2.840,0.48,0.49,0.59
2.850,0.51,0.49,0.52
2.860,0.55,0.54,0.54
2.870,0.60,0.50,0.62
2.880,0.64,0.49,0.57
2.890,0.55,0.51,0.58
2.900,0.55,0.59,0.58
2.910,0.59,0.49,0.53
2.920,0.53,0.54,0.50
2.930,0.50,0.46,0.54
2.940,0.49,0.40,0.48
2.950,0.44,0.40,0.44
2.960,0.46,0.37,0.45
2.970,0.49,0.39,0.53
2.980,0.80,1.06,0.68
2.990,0.83,1.09,0.69
3.000,0.71,0.67,0.56
3.010,0.33,0.34,0.32
