桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.60050,56.80,,12.26
0.60060,56.91,,12.41
0.60070,56.84,,12.44
0.60080,56.89,,12.28
0.60090,56.71,,12.19
0.60100,56.90,,11.85
0.60110,57.03,,11.66
0.60120,56.86,,12.01
0.60130,57.14,,12.03
0.60140,57.32,,12.26
0.60150,57.29,,12.41
0.60160,57.24,,12.44
0.60170,57.07,,12.28
0.60180,57.65,,12.19
0.60190,57.48,,11.91
0.60200,57.83,,11.95
0.60210,57.79,,12.03
0.60220,58.31,,12.19
0.60230,58.21,,12.19
0.60240,58.00,,12.22
0.60250,57.76,,12.26
0.60260,57.67,,12.16
0.60270,57.74,,12.19
0.60280,57.28,,12.03
0.60290,56.69,,12.01
0.60300,56.79,,12.03
0.60310,57.08,,12.01
0.60320,57.08,,12.19
0.60330,56.62,,12.22
0.60340,56.73,,12.19
0.60350,56.38,,12.34
0.60360,55.86,,12.19
0.60370,55.30,,12.09
0.60380,55.21,,12.01
0.60390,55.08,,12.03
0.60400,54.89,,12.01
0.60410,54.55,,12.22
0.60420,54.59,,12.19
0.60430,54.39,,12.38
0.60440,54.30,,12.34
0.60450,53.94,,12.32
0.60460,53.73,,12.34
0.60470,53.42,,12.19
0.60480,52.80,,11.97
0.60490,52.47,,11.89
0.60500,52.76,,11.97
0.60510,53.14,,12.07
0.60520,52.92,,12.41
0.60530,52.97,,12.38
0.60540,53.01,,12.38
0.60550,52.81,,12.22
0.60560,53.08,,12.01
0.60570,52.95,,12.03
0.60580,52.96,,11.95
0.60590,52.75,,12.03
0.60600,52.79,,12.19
0.60610,52.17,,12.28
0.60620,52.09,,12.19
0.60630,51.83,,12.19
0.60640,51.84,,12.22
0.60650,51.66,,12.01
0.60660,51.47,,12.03
0.60670,51.25,,12.01
0.60680,51.06,,12.09
0.60690,50.82,,12.13
0.60700,50.73,,12.22
0.60710,50.47,,12.19
0.60720,49.84,,12.03
0.60730,49.88,,12.19
0.60740,49.51,,12.01
0.60750,49.57,,12.22
0.60760,49.65,,12.07
0.60770,49.71,,12.16
0.60780,49.38,,12.19
0.60790,48.98,,12.16
0.60800,48.55,,12.07
0.60810,47.94,,11.91
0.60820,47.64,,11.95
0.60830,47.77,,11.83
0.60840,47.49,,12.03
0.60850,47.13,,12.19
0.60860,46.70,,12.28
0.60870,46.58,,12.32
0.60880,46.23,,12.22
0.60890,45.94,,12.19
0.60900,46.01,,12.03
0.60910,45.76,,12.01
0.60920,45.53,,12.03
0.60930,45.23,,11.95
0.60940,44.96,,11.95
0.60950,44.91,,11.97
0.60960,44.93,,12.01
0.60970,44.97,,12.03
0.60980,44.85,,12.19
0.60990,44.74,,12.16
0.61000,44.68,,12.07
0.61010,44.27,,12.03
0.61020,44.82,,12.01
0.61030,45.41,,12.01
0.61040,45.94,,12.03
0.61050,45.91,,12.01
0.61060,45.13,,12.22
0.61070,44.43,,12.07
0.61080,44.21,,12.16
0.61090,44.10,,12.01
0.61100,43.90,,12.03
0.61110,43.91,,11.89
0.61120,43.80,,11.97
0.61130,44.07,,12.01
0.61140,44.25,,12.19
0.61150,44.46,,12.03
0.61160,44.83,,12.19
0.61170,44.94,,12.03
0.61180,44.92,,12.07
0.61190,44.83,,11.97
0.61200,44.90,,12.01
0.61210,44.96,,11.85
0.61220,44.74,,11.89
0.61230,44.59,,11.95
0.61240,44.74,,12.03
0.61250,45.18,,12.19
0.61260,45.78,,12.03
0.61270,46.13,,12.01
0.61280,46.11,,12.03
0.61290,45.89,,11.83
0.61300,45.84,,12.03
0.61310,45.85,,12.01
0.61320,45.90,,12.03
0.61330,45.82,,12.01
0.61340,45.79,,12.01
0.61350,45.62,,11.85
0.61360,45.73,,11.83
0.61370,46.21,,11.97
0.61380,46.25,,12.07
0.61390,46.60,,12.03
0.61400,46.89,,12.19
0.61410,47.13,,12.16
0.61420,47.37,,12.07
0.61430,47.71,,11.83
0.61440,47.96,,11.68
0.61450,47.81,,11.72
0.61460,47.20,,11.79
0.61470,46.91,,12.01
0.61480,46.71,,11.97
0.61490,46.55,,12.07
0.61500,46.89,,12.03
0.61510,47.09,,12.01
0.61520,47.17,,11.97
0.61530,47.11,,11.83
0.61540,46.96,,11.83
0.61550,47.05,,11.91
0.61560,47.10,,11.95
0.61570,47.20,,12.03
0.61580,47.44,,12.07
0.61590,47.55,,12.03
0.61600,47.82,,12.01
0.61610,48.06,,11.85
0.61620,48.43,,11.66
0.61630,48.42,,11.83
0.61640,48.11,,11.85
0.61650,48.23,,11.83
0.61660,48.08,,12.03
0.61670,47.82,,11.83
0.61680,47.75,,11.85
0.61690,47.97,,11.83
0.61700,48.34,,11.85
0.61710,48.27,,11.95
0.61720,48.19,,11.91
0.61730,47.84,,11.83
0.61740,47.61,,11.83
0.61750,47.69,,11.91
0.61760,47.82,,11.95
0.61770,47.61,,11.68
0.61780,47.41,,11.83
0.61790,47.39,,11.85
0.61800,47.49,,11.89
0.61810,47.45,,11.97
0.61820,46.83,,11.83
0.61830,46.42,,11.83
0.61840,46.41,,11.62
0.61850,46.51,,11.61
0.61860,46.76,,11.79
0.61870,46.82,,11.83
0.61880,46.95,,11.85
0.61890,47.00,,11.83
0.61900,46.92,,11.74
0.61910,46.88,,11.78
0.61920,46.90,,11.62
0.61930,47.10,,11.55
0.61940,47.46,,11.83
0.61950,47.47,,11.85
0.61960,47.43,,11.83
0.61970,47.63,,11.79
0.61980,47.72,,11.72
0.61990,47.69,,11.51
0.62000,47.66,,11.55
0.62010,47.58,,11.62
0.62020,47.44,,11.66
0.62030,46.99,,11.83
0.62040,46.28,,11.68
0.62050,45.94,,11.83
0.62060,45.88,,11.85
0.62070,45.42,,11.66
0.62080,44.75,,11.68
0.62090,44.27,,11.66
0.62100,44.17,,11.51
0.62110,44.45,,11.66
0.62120,44.43,,11.62
0.62130,44.39,,11.72
0.62140,44.19,,11.83
0.62150,43.81,,11.68
0.62160,43.39,,11.50
0.62170,43.16,,11.57
0.62180,43.21,,11.50
0.62190,42.96,,11.45
0.62200,42.17,,11.83
0.62210,41.71,,11.79
0.62220,41.56,,11.72
